Id,Y_b,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,BX1,BX2,BX3,BX4,BX5,BX6,BX7,BX8,BX9,BX10,BX11,BX12,BX13,BX14,BX15,BX16,BX17,BX18,BX19,BX20,BX21,BX22,BX23,BX24,BX25,BX26,BX27,BX28,BX29,BX30,BX31,BX32,BX33,BX34,BX35,BX36,BX37,BX38,BX39,BX40,BX41,BX42,BX43,BX44,BX45,BX46,BX47,BX49,BX50,BX51,BX52,BX53,BX54,BX55,BX56,BX57,BX58,BX59,BX60,yy_c,mm_c,yy_b,mm_b
b1,B-,18.8186103,18.25551542,17.95457381,18.27136715,5.170483995,0.81809318,-0.332493322,65,2.422541675,13.08503142,22.0848329,-0.159036962,-0.129443097,-0.04170263,0.039834834,-0.034289037,0.001564577,-0.056655016,0.042582385,0.037398245,-0.44339332,-0.116039887,-0.06702731,0.088813397,-0.04766605,-0.117706594,0.911186604,0.184850894,-0.187293543,0.56664406,0.421457435,-0.129443097,0.395673044,0.392281201,3.07629952,0.660291974,0.212116305,1.086509049,0.921004985,1.133682567,1.132497636,0.240221214,0.419224615,0.419224615,0.728481291,0.04129073,-0.045868495,18.26426918,-1.153352345,-1.590200038,-0.099022737,-0.062807902,-0.056625812,-0.057530581,-8.513693175,0.936315045,0.569443971,2.807576318,22.14501263,18.87531672,18.24396454,18.03128269,18.31324605,5.541263545,0.726075551,0.15928067,65,3.15783145,12.66447195,34.07202158,-0.244978841,-0.129443097,-0.04170263,0.038528682,-0.034289037,0.002481988,-0.094670354,0.043377045,0.034912955,-0.21791263,-0.116039887,-0.101932122,0.038196658,-0.04766605,-0.146520274,0.961803342,0.224210003,-0.288640712,0.40340062,0.4299725,-0.129443097,0.421697725,0.380952291,3.077736665,0.669201868,0.193012483,1.081018245,0.925868798,1.151920869,1.111245825,0.214484315,0.387549462,0.425630199,0.754301324,0.038710934,-0.073576232,18.1382209,-1.153352345,-2.147632825,-0.099022737,-0.065338233,-0.181886733,-0.156030902,-4.325322469,0.93067406,0.511922914,2.80915971,14.73268572,2017,6,2016,6
b2,AA-,21.87682227,21.56114738,21.3387928,20.99999811,4.976733742,1.270981994,-0.273973777,65,0.563962279,16.50789808,3.32663474,0.035226494,0.283956038,0.067584119,0.007176897,0.044491493,0.002402629,7.605750195,0.010471344,0.011028675,0.171644383,0.050534696,0.020551772,0.195354308,0.06100604,0.028180269,0.804645692,0.134348268,0.063118552,1.264649571,0.583897707,0.283956038,0.364668193,0.231019276,0.76460575,1.200129226,0.790314536,1.560675304,0.830231261,0.584085928,0.398046676,0.314582074,0.107111594,0.273152335,1.403255202,0.130311336,0.033220735,19.55827222,6.454197124,9.967615727,0.164582423,0.068483124,0.067092253,0.038279684,5.541867268,1.946322873,0.729296518,9.066346556,8.940372529,21.8454066,21.49783168,21.30902995,20.9662585,4.990432587,1.528008627,0.688709313,65,0.770288633,16.50739909,3.48125503,0.043466887,0.288574014,0.055253909,0.00470947,0.034747628,0.003783915,9.109500227,0.010066095,0.010475953,0.20463786,0.039123702,0.025400684,0.18734462,0.049189797,0.03595798,0.81265538,0.138154823,0.047253665,0.922253828,0.584863584,0.288574014,0.38194852,0.249645571,0.486356247,1.346219647,1.223447246,1.794111682,0.817694684,0.627652458,0.319234206,0.39056621,0.086314613,0.270569019,1.408846737,0.148267371,0.037927539,19.03450694,5.48911073,5.115288688,0.070488882,0.029262502,-0.003784747,-0.002224219,6.932101769,1.926386909,0.70639909,9.353592442,13.71450343,2017,6,2016,6
b3,A,21.94736039,21.35996582,20.97938232,21.46956602,8.11342664,0.403914077,-0.124971827,62,1.166677142,13.24653918,-2.328805663,0.029891441,0.08640914,0.076038465,0.021187798,0.03646069,0.000458451,0.5481999,0.021827605,0.022826872,0.332720046,0.043775911,0.011304403,0.435844321,0.065603515,0.020339949,0.564155679,0.370240806,0.064050202,1.405545986,0.379850292,0.08640914,0.61850199,0.13605919,1.454947396,0.586845757,0.496052793,0.679266161,1.227083339,1.509912667,1.091282424,0.541333695,0.18993954,0.37339137,0.61251386,-0.132951857,0.046186516,19.44866057,3.483591834,5.475847295,0.087555327,0.05429741,0.050264692,0.056086946,8.835541218,2.10221243,0.555773427,3.722354849,7.750867854,21.96467384,21.36904923,21.00437636,21.4821457,8.107117471,0.566344632,-0.050424069,61,1.25997078,13.26193176,-2.080441867,0.04045722,0.097125024,0.08190614,0.02339419,0.038719276,0.000468294,0.760834516,0.024243751,0.02541272,0.345140649,0.045999355,0.015419836,0.430110978,0.070243106,0.027974108,0.569889022,0.359867872,0.066241042,1.285276282,0.382779001,0.097125024,0.647731449,0.162042377,1.3927396,0.497196728,0.487564147,0.593343522,1.288388457,1.492862029,1.083969059,0.528504449,0.188718656,0.381995768,0.620165228,-0.168730147,0.050050873,19.80426518,3.378443338,7.574758055,0.142351623,0.087862411,0.101293333,0.113422192,8.46093917,2.063609021,0.551218164,3.673678741,6.984982846,2017,6,2016,6
b4,AA-,21.43912369,21.00150143,21.12642987,20.12431674,7.414572881,1.017513682,-0.24518699,65,1.58042141,13.58692855,1.136066457,0.107831902,0.523875965,0.077178844,-0.003208329,0.047798556,0.004676358,14.45846928,0.004035442,0.00433921,0.054502874,0.070005461,0.078813974,0.294853321,0.074040903,0.122084395,0.705146679,0.220812418,0.061784024,0.280923156,0.701802582,0.523875965,0.163223989,0.296324675,0.401782531,1.951031972,0.693378451,2.465251354,0.579492457,0.276727515,0.242492652,0.150315619,0.027542338,0.098658757,2.346229512,0.344379685,0.099792126,18.94549956,19.12525181,14.91070781,0.134957433,0.036239601,-0.010580078,-0.004400808,1.980132725,1.097977359,0.645569598,5.606415355,6.552708904,21.3547124,20.84436009,21.03364334,20.06237035,7.374001859,1.156672065,0.547570426,65,2.261282488,13.47035823,1.068761622,0.092493975,0.523875965,0.078389521,-0.004247525,0.045650198,0.006162353,11.30208248,0.002774077,0.002993415,0.036478131,0.073273584,0.067034556,0.301815699,0.07604766,0.111671392,0.698184301,0.225768039,0.060637706,0.280923156,0.701802582,0.523875965,0.163709975,0.252608956,0.762790698,1.951031972,0.447962662,2.465251354,0.604414619,0.276727515,0.261471365,0.117129409,0.034887519,0.087803526,2.346229512,0.320556952,0.083551025,19.21415217,28.25787975,36.78999464,0.244456723,0.067134377,0.089026298,0.040729069,1.741622637,1.179198938,0.600284057,5.270519687,5.20361443,2017,6,2016,6
b5,AA-,22.4318598,22.52859049,21.73095555,21.74640999,8.596373989,0.863289481,-0.088236122,65,1.490695378,13.9322165,8.654834243,0.024900886,0.098095884,0.044243754,0.007777157,0.041375929,0.000620526,2.990053584,0.008340471,0.008591521,0.222050844,0.029220616,0.012354238,0.110346159,0.037561087,0.011215183,0.889653841,0.072785072,0.064878055,0.681275655,0.496136469,0.098095884,0.3688592,0.011329949,0.402942113,1.098002483,1.041977756,1.109195046,0.964229314,0.96493777,0.497348449,0.518226021,0.093546145,0.352486914,0.984664375,0.026944173,0.036363591,19.53015333,5.304706786,5.108415267,0.07491376,0.037746312,-0.005959688,-0.002726006,7.232383215,5.069560083,1.101563666,5.728180296,9.216044997,22.22745191,22.34379529,21.58687497,21.47881676,8.592857095,0.572359007,-0.077380086,65,1.837141582,13.7509382,8.438782061,0.020653497,0.107872451,0.042804953,0.010006696,0.041469653,0.000573032,2.147258714,0.010516792,0.010801944,0.284891935,0.026398229,0.010884151,0.108640257,0.03691502,0.00968874,0.891359743,0.071725237,0.056273134,0.488571678,0.526988297,0.107872451,0.393867007,0.011329949,1.019540356,0.956294021,0.655893674,0.963998655,1.014396244,0.855373036,0.542048901,0.355526445,0.1578169,0.423471625,1.114112598,-0.010283908,0.038014854,19.40180497,4.070153242,4.232513433,0.080738189,0.038190108,0.048932216,0.020603428,8.806493186,5.069560083,1.123381555,6.355444214,11.53474619,2017,6,2016,6
b6,A-,22.10130388,21.36271501,20.90849661,21.73980527,4.729156166,0.71217783,-0.111712736,65,0.244657149,16.50789808,-2.12036529,0.038532215,0.155520414,0.078028258,0.033403719,0.03351022,0.000458451,1.994360921,0.034105389,0.035380166,0.486273558,0.036030831,0.011666593,0.437760655,0.07013622,0.024417945,0.562239345,0.367624436,0.056746466,9.404271731,0.303368432,0.155520414,0.528701145,0.131783543,2.044300846,0.441840326,0.425535804,0.508905725,1.469350784,2.142004609,1.610848267,0.685473612,0.295659137,0.544843667,0.435479019,-0.239250405,0.036230058,19.3817775,2.287857133,3.57693713,0.060277969,0.041991536,0.030794852,0.0449,14.61453721,2.103716874,0.477787663,3.737728416,7.777184037,22.12661076,21.37929496,20.82894091,21.80755143,4.729156166,1.249348081,0.059530544,65,0.289148935,16.50789808,-1.702500545,0.040319892,0.147365789,0.084807254,0.037613552,0.03585202,0.000458451,1.926983749,0.038411243,0.039898832,0.507445733,0.037284029,0.010990759,0.430576093,0.075695271,0.023205067,0.569423907,0.354880822,0.064645539,9.221559027,0.273167575,0.147365789,0.551367888,0.158995661,1.443812793,0.383062902,0.528426453,0.495616775,1.493732285,2.505287986,1.740846985,0.919909598,0.281752099,0.550802116,0.375832952,-0.239250405,0.033021745,19.75008752,2.207875829,4.82324351,0.095697567,0.069556095,0.064990082,0.099732454,13.71253425,2.058128133,0.473636184,3.673027752,7.04811156,2017,6,2016,6
b7,A-,24.07893591,23.52482405,22.79023721,23.60302128,8.334471555,1.528008627,0.171318556,65,0.328521626,15.1903525,-33.64487117,0.006403003,0.049212239,0.063942934,0.032430696,0.032243538,0.001726508,2.3702087,0.0354355,0.036183817,0.631463356,0.020680979,0.001758827,0.17534354,0.056116479,0.003061054,0.82465646,0.119227062,0.043111993,8.02707774,0.275629228,0.049212239,0.275919296,0.20016547,1.341889622,0.640512178,0.545079881,0.800805859,1.175811882,2.372479977,1.700923225,0.92713903,0.251375047,0.533386815,0.38050849,-0.093387025,0.029204813,20.74292363,1.804487991,2.584867721,0.04454746,0.032268878,0.022527604,0.028400347,14.51768715,1.841374908,0.574582348,6.769326541,4.858718676,24.08038913,23.55072071,22.85072649,23.60302128,8.276394705,1.098129093,-0.184259459,65,0.261596971,15.27432601,-33.64487117,-0.203287091,0.043003046,0.01139489,0.037708105,0.002237646,0.001482271,-5.264544949,0.040475466,0.039057754,2.397373168,-0.036297841,-0.053897618,0.150889968,0.004177625,-0.100625428,0.849110033,0.146712342,-0.073094453,10.5830799,0.265985647,0.043003046,0.278741563,0.22333443,1.137120001,0.670283389,0.622079888,0.863027041,1.113212499,2.481695974,1.7012734,1.058327967,0.246460115,0.543456321,0.362371179,-0.061982223,0.009424561,18.16063295,0.281525843,0.974025921,-0.000767166,-0.000563111,-0.017526996,-0.02401874,37.34995912,1.651444896,0.535626222,5.961140781,5.659482386,2017,6,2016,6
b8,A+,23.24027733,23.01111996,22.36136391,22.70373408,8.60043079,1.528008627,0.281333674,65,0.614268193,14.41068917,3.097570595,0.057215832,0.316223329,0.042561145,0.005523897,0.033844767,0.003225192,8.425153054,0.009579705,0.009906434,0.225081,0.03298144,0.023660986,0.099039533,0.042561145,0.029754635,0.900960467,0.056478388,0.063161885,2.302011959,0.41523385,0.316223329,0.158515446,0.138847512,0.4573386,1.168472045,0.513569841,1.35687008,0.775317923,1.10175815,0.930437079,0.477844422,0.073611458,0.28245838,0.710085306,0.137876388,0.030157231,19.30389984,4.442845023,2.557225016,0.020286144,0.01186265,-0.013959665,-0.010265474,8.345703285,2.286761326,0.79520338,6.935035485,5.473548978,23.21356574,22.9759959,22.29308297,22.70552507,8.562548893,1.52109884,-0.018838113,65,0.507481101,14.413447,3.198755486,0.045345779,0.304402974,0.028566085,-0.003304902,0.022525552,0.009231743,6.234744048,0.008402458,0.008575369,0.294141046,0.020163627,0.017983506,0.081686409,0.028566085,0.022806027,0.918313592,0.053120324,0.039916638,2.989533131,0.398326696,0.304402974,0.151811507,0.115556929,0.737982,1.242911699,0.421327606,1.405304354,0.70248334,1.059394373,1.06274027,0.447761813,0.107758856,0.313897342,0.662031527,0.171572556,0.024360757,19.98873273,3.399729532,5.814444455,0.053017167,0.031899014,0.026759214,0.02041782,13.93516752,2.354583923,0.788541814,8.24984634,5.544895763,2017,6,2016,6
b9,AA+,24.08038913,23.87883172,23.14756329,23.60302128,9.660103028,0.565773037,-0.264781029,65,0.598602551,14.25101485,4.028122863,0.103638062,0.461114172,0.049019305,-0.000229602,0.048369342,0.002973398,6.795483658,0.002640928,0.002762636,0.056555812,0.044055037,0.054130086,0.197889223,0.046695965,0.052257411,0.802110777,0.151193258,0.08737093,1.527910449,0.522299283,0.461114172,0.265148344,0.423406629,1.049537951,0.742162997,0.496275351,1.287151457,0.865329008,0.799326765,0.611258544,0.303352548,0.081208216,0.183247782,1.093360893,0.091675945,0.087272167,21.59641382,18.56139242,24.53177551,0.134755413,0.064372758,0.073328138,0.03381705,3.60894909,1.563440305,1.035835577,21.56500851,6.899682101,24.08038913,23.87883172,23.14756329,23.60302128,9.660103028,0.586148681,-0.051454357,65,0.880932271,14.18800338,4.436646327,0.108684376,0.457569123,0.049802341,-0.00171451,0.051201984,0.003783484,6.489486579,0.002363607,0.002542234,0.037829088,0.04574206,0.057211691,0.199260696,0.047540473,0.053120419,0.800739304,0.151720223,0.093588254,1.021291043,0.526402164,0.457569123,0.283646998,0.418434907,0.788575785,0.733595048,0.493611194,1.261415201,0.878623479,0.85403766,0.602357723,0.297330515,0.060580908,0.165091047,1.111496136,0.082890162,0.088148913,21.59641382,27.69238716,36.78999464,0.154997947,0.073406692,-0.021344198,-0.009385691,3.077871405,1.63957027,1.077018819,20.72971618,6.737363293,2017,6,2016,6
b10,A-,20.08139757,19.99385196,19.50492946,19.2561366,6.827629235,0.964890471,-0.23057713,65,0.850806609,13.16622272,7.746183953,0.04638849,0.523875965,0.046470484,0.008985192,0.035863354,0.000458451,0.540322994,0.00935683,0.009644106,0.239032656,0.029787737,0.026064735,0.209473079,0.039144566,0.028449451,0.790526921,0.170328513,0.048570643,0.916473222,0.56187936,0.523875965,0.443604725,0.361536976,0.839976061,1.084402354,0.579601495,1.698457567,0.726662531,0.688933169,0.493631765,0.286109709,0.107030893,0.304410621,1.28247635,0.193725239,0.050566001,18.46970377,4.966477462,3.250391668,0.044032419,0.019291512,-0.052311731,-0.025015742,7.149953012,1.447502817,0.916177078,3.925612535,5.404526454,20.05370465,20.04439208,19.47784407,19.22766399,6.853299093,1.229749656,-0.184633174,65,0.98839728,13.19109299,7.921410886,0.086027228,0.523875965,0.069221271,0.008005547,0.061904889,0.000824008,1.10537111,0.008837265,0.009338231,0.14143227,0.05364681,0.048366299,0.224608929,0.062484075,0.048818817,0.775391071,0.162124854,0.09453499,0.787801191,0.562220823,0.523875965,0.437150848,0.336706344,0.945655313,1.126365528,0.530906703,1.698140059,0.720406656,0.635736911,0.508627046,0.270033508,0.109471834,0.287318533,1.284256656,0.199640631,0.069283659,18.63655047,7.832884307,7.519834064,0.130393188,0.057083422,0.00452789,0.002000762,4.189560522,1.54721104,0.990730661,4.392087835,5.503580883,2017,6,2016,6
