Id,C,Y_c,Y_b,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,BX1,BX2,BX3,BX4,BX5,BX6,BX7,BX8,BX9,BX10,BX11,BX12,BX13,BX14,BX15,BX16,BX17,BX18,BX19,BX20,BX21,BX22,BX23,BX24,BX25,BX26,BX27,BX28,BX29,BX30,BX31,BX32,BX33,BX34,BX35,BX36,BX37,BX38,BX39,BX40,BX41,BX42,BX43,BX44,BX45,BX46,BX47,BX49,BX50,BX51,BX52,BX53,BX54,BX55,BX56,BX57,BX58,BX59,BX60,yy_c,mm_c,yy_b,mm_b
a1,-1,BBB,AA+,22.38372412,22.12805703,20.54676521,22.21020237,8.331104548,1.041041643,-0.382176315,58,0.174073948,13.79695248,-7.150123017,-0.024823833,0.010183815,0.063153066,0.039737125,0.047798439,0.018830643,-0.621854918,0.065031136,0.064816727,1.053592856,-0.003307923,-0.003841203,0.114454857,0.061723213,-0.004960233,0.885545143,0.052731645,-0.016080581,17.01317862,0.159301138,0.010183815,0.267606929,0.234076861,1.530844269,0.71388566,0.493392145,0.932059138,1.088377999,4.814135765,3.532227511,1.742773308,0.337905591,0.637015611,0.189486563,-0.038229499,0.023095412,19.56928609,0.971120455,1.832165835,0.049848943,0.04190795,-0.006316228,-0.006856983,13.02538118,1.720276048,0.774399727,3.08470805,5.002165317,22.28697916,21.96132578,20.66180811,22.06773051,8.4147174,1.058417422,-0.160512606,57,0.295577582,13.54660838,-9.558506466,-0.017323015,0.016815704,0.05825165,0.046974606,0.040915805,0.018830643,-0.510978703,0.074613498,0.073297963,1.316730314,-0.017947758,-0.003323453,0.115881694,0.05666574,-0.004602768,0.884118306,0.059215954,-0.065823891,14.16262988,0.196877997,0.016815704,0.272418609,0.241213336,1.622490753,0.753791307,0.506854763,0.993416652,1.007513124,3.869614261,2.707153911,1.372133853,0.330941662,0.632884586,0.245140833,-0.003508787,0.024012236,18.7154075,0.78071196,1.153125943,0.010272004,0.008249673,-0.065529537,-0.072886667,15.04685555,1.609134049,0.722055426,2.950170088,7.17974543,1998,6,1997,6
a2,-1,B,A,20.1848727,19.90658981,18.21602319,20.03449461,6.315358002,0.880408909,-0.545045066,43,0.174073948,13.59123181,5.784040246,0.010393958,0.01751963,0.057560063,0.04801553,0.042984195,0.018830643,0.189407648,0.081739085,0.079748328,1.439674296,-0.02496299,0.001451177,0.100284486,0.056776095,0.001916802,0.899715514,0.043508391,-0.135363118,17.01317862,0.139617393,0.01751963,0.07655124,0.136175736,1.596067993,0.945048007,0.439255185,1.094028087,0.860245356,5.738891935,4.034517082,1.880750535,0.393710272,0.751389232,0.162273611,0.05620972,0.004272296,16.35565666,0.704192657,-1.275439265,-0.099022737,-0.065338233,-0.164990745,-0.156030902,17.26319575,2.034486962,0.757082616,2.532539453,4.451373236,19.98068908,19.7727314,17.92268442,19.84405741,6.388561406,0.873957854,-0.019670423,42,0.544519195,13.38416999,7.070311643,0.017673287,0.019913347,0.063848482,0.047347655,0.050893683,0.018830643,0.240180903,0.07560423,0.074637974,1.206611167,-0.012945909,0.00225703,0.104048789,0.062658321,0.002778767,0.895951212,0.041390467,-0.082337512,12.54378189,0.127708538,0.019913347,0.07655124,0.258582859,0.929468115,0.933122758,0.654066239,1.258566476,0.711495771,6.123913262,4.034517082,2.309550727,0.297858855,0.70898987,0.14640581,0.1363581,0.007096307,18.2234642,0.844509384,0.563028692,-0.030762563,-0.026833921,-0.034293182,-0.036828521,13.6711273,1.444607055,0.812241411,2.96626926,4.625441201,1998,6,1997,6
a3,0,BBB,BBB,21.02639897,19.62351784,17.22198215,21.17045763,7.671360923,0.979021057,-0.545045066,42,0.174073948,12.17252753,-0.26721311,0.240344686,-0.129443097,-0.04170263,0.085964245,-0.034289037,0.003061673,-5.264544949,0.10423688,0.097744658,-0.945758545,-0.116039887,-0.101932122,0.038196658,-0.04766605,-0.146520274,0.961803342,0.113157747,0.274954469,17.01317862,0.118338977,-0.129443097,0.692465707,0.011329949,1.091125734,0.319425177,0.77633197,0.495616775,1.545983211,0.276727515,0.242492652,0.064551104,0.429800976,0.751389232,0.133746554,-0.239250405,-0.073576232,0,-0.450050253,-1.003602778,-0.099022737,-0.065338233,-0.181886733,-0.156030902,-14.59448137,5.069560083,0.370970491,4.573927388,5.458919325,21.03039743,19.58593705,17.67615077,20.9948369,7.699389406,0.925504407,-0.137550429,41,2.154361225,12.17252753,-0.337694152,-0.432280704,-0.070151451,0.016744523,0.085964245,0.002940262,0.002862881,-3.20148833,0.10423688,0.097744658,2.397373168,-0.116039887,-0.065860899,0.087675297,0.012465427,-0.146520274,0.912324703,0.07520987,-0.333623696,12.82237729,0.118338977,-0.070151451,0.692465707,0.342592229,0.689131239,0.346002762,1.229035811,0.52631377,1.361667715,6.123913262,4.034517082,2.309550727,0.34413405,0.751389232,0.133746554,-0.205083148,-0.023834441,17.57212099,0.058200577,0.43563293,-0.039685305,-0.038298872,-0.181886733,-0.156030902,37.34995912,1.01398204,0.370970491,2.727980168,5.430017003,1998,6,1997,6
a4,-1,BBB-,A+,21.32208053,21.06755338,20.12621426,20.96191114,8.131824785,1.137434193,-0.075907567,42,0.174073948,12.9357286,-5.193739016,0.00421884,0.022512838,0.074402717,0.052824778,0.057376728,0.018830643,0.138225298,0.086532992,0.085462529,1.16924684,-0.012525529,0.001275954,0.111692975,0.074007463,0.001645791,0.888307025,0.037685512,-0.03210809,14.67323348,0.302441844,0.022512838,0.451714459,0.198100996,1.650137735,0.598405047,0.451539616,0.74623493,1.256870653,1.913386646,1.560062184,0.704429879,0.288722957,0.519400214,0.433572228,-0.119733487,0.022319241,19.50020636,0.85981907,2.633599741,0.157111226,0.109594217,0.145803242,0.131185954,9.00436452,2.289868701,0.775283004,7.20313456,4.583683134,20.99169705,20.92981519,18.9692583,20.84975052,8.263590433,1.263639893,-0.274493431,41,1.038601278,12.66622476,-4.240079335,0.05281228,0.030286071,0.070247821,0.055985994,0.065772954,0.018830643,0.544088869,0.084621546,0.083399751,1.209368512,-0.014649866,0.006988773,0.106502122,0.06997168,0.007434913,0.893497878,0.036530443,-0.104062128,6.31304002,0.132332346,0.030286071,0.354024881,0.241267447,1.717064324,0.653631735,0.469319189,0.861478438,1.199767925,5.899878773,4.034517082,2.094303199,0.382395152,0.660291214,0.152515016,-0.081800251,0.029256381,19.16451976,0.830141072,2.110465717,0.101802339,0.088330596,0.070542625,0.065114839,9.999484465,1.923206981,0.939993935,4.854726105,5.030613141,1998,6,1997,6
a5,0,AA-,AA-,19.97517086,19.63548726,18.90903076,19.55306549,6.858565035,0.932399136,0.00857986,42,0.23931884,12.77692222,-33.64487117,-0.043415696,0.004550608,0.046257018,0.049429933,0.02773949,0.011753166,-3.5375655,0.065937292,0.064205222,1.692426901,-0.026977091,-0.014949546,0.188970008,0.038960201,-0.020996684,0.811029992,0.150009807,-0.055781626,7.956532462,0.344335055,0.004550608,0.357530028,0.335759924,1.334028486,0.875905735,0.635180352,1.318658368,0.786697463,1.585729092,1.164488134,0.739659983,0.279281563,0.540069746,0.52516923,0.127773747,0.018098551,17.92862625,0.70153044,-0.518295896,-0.099022737,-0.065338233,0.206366724,0.157877894,16.3981531,1.179468685,0.711995558,3.441263734,11.12324092,20.01050936,19.5625171,18.93105464,19.59532606,7.275172319,0.763064727,0.546354985,41,0.423491259,12.28734478,-4.038884785,-0.070273473,0.027356814,0.041460044,0.05971566,0.02257576,0.005926374,-5.264544949,0.068991422,0.066745012,1.952504944,-0.033656596,-0.023877573,0.166282213,0.035334826,-0.03737238,0.833717787,0.130947387,-0.063286468,4.588227697,0.33978075,0.027356814,0.497970364,0.381396508,2.939148163,0.55754783,0.334706179,0.901300813,1.096611365,1.76261259,1.455806793,0.48726753,0.273604276,0.411968985,0.514648353,-0.048822058,0.004076435,18.74460515,0.600944906,3.007392626,0.134022795,0.088484429,0.069054649,0.071357837,15.55232535,1.141873847,0.638909626,3.570284425,8.855186921,1998,6,1997,6
a6,-1,BB+,AA-,21.39006299,20.13590813,19.48461461,21.22900661,8.177515824,0.926566408,0.41137519,41,0.546270843,12.17252753,-1.056727554,0.024234595,0.035326767,0.180033789,0.036023746,0.050375064,0.005465615,1.52155915,0.055180043,0.062802956,0.312531563,0.121378261,0.003576628,0.332674162,0.160760159,0.012535636,0.667325838,0.156115859,0.232805959,10.55864079,0.148755928,0.035326767,0.418756344,0.244616402,2.851255883,0.506647427,0.341680021,0.67071542,1.545983211,5.253349295,4.034517082,1.457304984,0.429800976,0.743528175,0.174751206,-0.208918328,0.016635225,18.53883891,3.2626613,1.576190695,0.010656673,0.00907143,-0.011837896,-0.035318411,14.47491237,0.687335304,0.370970491,2.532539453,2.667290844,19.61669462,19.70811937,18.60986208,19.16197448,6.559615237,1.085657298,0.488741402,40,0.966323769,13.14850413,-33.64487117,0.165358576,0.194148682,0.098506879,0.01738908,0.105701766,0.018830643,7.718844485,0.035314527,0.037614747,0.366080343,0.061152075,0.059883755,0.181810977,0.096466602,0.054651711,0.818189023,0.085344375,0.183391112,1.81347924,0.365374455,0.194148682,0.39089762,0.367436432,1.809092527,0.697453305,0.399010583,1.10258216,0.914831851,1.604316001,1.24153329,0.495384921,0.192520288,0.328192929,0.575732348,0.046533786,0.118272672,18.9009333,2.789415229,6.218510876,0.318190859,0.177990527,0.230606669,0.13356238,3.040586734,1.584798367,1.095734316,5.507679765,4.562212624,1998,6,1997,6
a7,-1,BBB,AA+,21.92864811,22.80849919,19.79015885,21.80327453,7.043159916,1.194219365,0.102079219,41,0.486576438,15.76533927,34.07202158,0.025447819,0.016797351,0.011966069,0.012807113,0.026720063,0.018823103,0.411510494,0.020615777,0.020421141,1.859844788,-0.009531101,0.002919777,0.047633834,0.011084676,0.001211254,0.952366166,0.036549158,-0.1949807,15.80158916,0.118338977,0.016797351,0.07655124,0.089462022,5.873678954,1.028220791,0.136807247,1.129245365,0.553139335,6.123913262,4.034517082,0.900770931,0.429800976,0.747167327,0.133746554,0.100273494,0.004971871,0,0.580432574,-1.612718281,-0.099022737,-0.065338233,-0.151397368,-0.055405745,25.90311049,3.377248132,1.867203245,5.51705635,17.03911986,21.53442611,22.67837796,19.70441464,21.35958245,7.016609684,0.99526209,-0.03073901,40,0.836896182,15.66176828,33.20047803,0.027694424,0.026132742,0.009507243,0.006483901,0.027136989,0.018830643,0.42005059,0.013930989,0.013857733,1.611507304,-0.005286294,0.004315299,0.05096628,0.008644695,0.001374672,0.94903372,0.042321585,-0.103449212,6.438374017,0.160411728,0.026132742,0.07655124,0.127416038,4.087956109,1.03034724,0.172270094,1.180800111,0.543715217,4.987375776,4.034517082,0.769152491,0.429800976,0.633517264,0.191059992,0.12949034,0.006883912,0,0.682452859,-0.576453813,-0.082112414,-0.065338233,-0.089991989,-0.02406901,21.22715858,3.319532075,1.867203245,6.688429583,20.35929827,1998,6,1997,6
a8,0,AA,AA,20.14387504,20.27252786,18.11005349,20.00365324,6.701960366,0.999733345,-0.22755327,41,0.530576688,13.57056749,-8.291576462,-0.097771451,0.060777562,0.065627978,0.037347726,0.070607441,0.015295382,-2.871880449,0.050796637,0.051376525,0.818196651,0.011287016,-0.012556187,0.177471731,0.062083653,-0.011040394,0.822528269,0.115388078,0.09811374,12.75582493,0.130834573,0.060777562,0.267997295,0.254693878,2.49262774,0.668150362,0.38918834,0.89647776,1.173392249,5.642791215,4.034517082,1.860837512,0.429800976,0.729581682,0.150528965,-0.064759698,0.002957144,18.27866,1.291974855,0.749398155,-0.016656739,-0.014477462,-0.126159641,-0.096416126,9.774885774,1.879358122,1.137295202,4.952145202,9.210545637,19.86648494,20.11301166,18.15529539,19.66724007,6.726233402,0.66891844,0.567426086,40,1.099395981,13.38677826,-21.93717316,-0.058032642,0.094930311,0.046851392,0.033981927,0.056502659,0.018830643,-1.784988432,0.049969611,0.049680856,1.131624315,-0.00581219,-0.010299018,0.191302744,0.04415742,-0.008048791,0.808697256,0.147145323,-0.041168514,4.199440353,0.180650771,0.094930311,0.238979771,0.20415692,1.877055259,0.783311266,0.460086648,0.984253412,1.020136104,3.755796545,3.10635153,1.429190864,0.353416775,0.590602217,0.220480797,-0.008836431,0.011340584,18.72329345,0.937597708,2.490850748,0.116341933,0.095324673,0.063546899,0.040690987,9.851613823,2.216674971,1.279573368,4.999478933,9.395249655,1998,6,1997,6
a9,0,A,A,19.92064062,19.65797119,18.00476442,19.7613954,6.222576268,0.846717223,-0.545045066,23,0.174073948,13.43539493,8.426376801,0.040407514,0.005948503,0.08049572,0.066341095,0.061084696,0.013114841,0.386351739,0.083395592,0.083066544,1.049868233,-0.00396125,0.005948503,0.136187494,0.079434341,0.007735414,0.863812506,0.056753153,-0.0206924,17.01317862,0.147212787,0.005948503,0.07655124,0.286842702,1.050729648,0.796221027,0.551102885,1.116473223,0.857762214,5.651476129,3.73468983,2.058198341,0.266551833,0.626127883,0.172625463,0.064036291,0.008830382,18.7780295,0.96522752,2.672990142,0.125811376,0.107290333,0.117109118,0.129869532,10.11500586,1.327788946,0.768996062,3.30878835,2.925788221,19.91204146,19.36750995,17.99651415,19.752736,6.182084907,0.874897935,-0.028469024,22,0.432360646,13.18542504,6.150479665,-0.075064074,-0.002017871,0.063067675,0.078127043,0.035601441,0.018830643,-0.71181942,0.10423688,0.097744658,1.810999336,-0.049770856,-0.011054248,0.13101188,0.061369786,-0.019055319,0.86898812,0.069642094,-0.196060912,13.39279746,0.147264158,-0.002017871,0.07655124,0.264115576,1.796340732,0.722061753,0.436398851,0.981216247,1.027443199,5.788575262,4.031274851,1.759243711,0.393285441,0.751389232,0.172696105,-0.011151206,-0.008391541,18.3430059,0.56745826,0.9181531,-0.006188332,-0.005277012,-0.026036351,-0.038272045,21.77159839,1.186818199,0.580113495,2.532539453,3.19646994,1998,6,1997,6
a10,0,A+,A+,19.15749948,18.8580838,18.18870372,18.68020563,6.035481433,1.077238248,-0.116985571,38,0.259154151,12.82260236,-26.66538822,-0.006414072,0.135557369,0.034436181,0.016579479,0.021267424,0.016101665,-0.217304721,0.038301757,0.037937161,1.334962957,-0.009610506,-0.002434396,0.113367948,0.02869125,-0.003284171,0.886632053,0.084676697,-0.01876957,6.308097518,0.37953982,0.135557369,0.407338073,0.222088765,0.447174208,1.062083484,1.74191502,1.365301639,0.923529346,1.476967211,0.575398056,1.002294517,0.10684378,0.400813749,0.611706975,0.079776937,0.026975749,18.48293349,0.899075765,2.947489572,0.089113877,0.055291612,0.059189114,0.049543917,15.70226153,2.295050829,0.741251221,5.252499506,7.63751739,19.05123651,18.87468137,18.1050476,18.55985767,6.079933195,0.745430592,0.111744779,37,0.596879073,12.79474818,-12.0732652,0.057453505,0.15313649,0.065403922,0.01446165,0.04794751,0.018263104,1.828875467,0.036251363,0.037027263,0.633696579,0.020954821,0.02230447,0.13986993,0.057206184,0.026611468,0.86013007,0.082663745,0.045240944,2.640189814,0.388217739,0.15313649,0.457639933,0.199568257,0.648012399,1.090867765,1.348176973,1.362849205,0.872157693,1.387688863,0.671105316,0.904768734,0.120685407,0.349963502,0.63456848,0.094534913,0.062290148,18.43446152,1.804178282,2.141606297,0.05669789,0.034686763,0.003446755,0.002515847,6.384044173,2.319812768,0.838152562,5.64279585,7.297848704,1998,6,1997,6
